centroid_town,centroid_x,centroid_y,centroid_lat,centroid_lon
West Springfield,104895.56646996949,875629.9041008282,42.12531958644852,-72.65023467013447
New Braintree,148237.0971275864,896726.0509526916,42.31930667252151,-72.12794835378823
Dedham,226602.9308583284,888512.7959074085,42.246626165957274,-71.17764564599442
Princeton,168637.86730022376,911843.5185306306,42.45648936339045,-71.88128580430418
Lincoln,215747.12652716975,908473.4521381197,42.42662200701209,-71.3086449331939
Lakeville,244907.3593620626,842443.4150236885,41.83102250225793,-70.9593891482347
Royalston,143768.95470300628,936928.2800850536,42.68090503133271,-72.18607296661565
Watertown,226568.7829067321,902213.1287968635,42.36996891531837,-71.17743161429343
Easton,232267.4715570479,865164.8524533736,42.03621003361745,-71.11030042692865
East Bridgewater,246172.03323771557,865123.2330795742,42.03514015264612,-70.9423800936303
Natick,212396.4014906982,892703.5996506697,42.28471004957162,-71.34969966721135
Brockton,239368.8854335226,870293.3628796295,42.08205839546281,-71.02419159286686
Wendell,125678.90774720392,922947.3085287674,42.55353247965175,-72.40496465634823
Westford,204920.28880040094,926206.676741606,42.586408022603706,-71.44005837926993
North Reading,233856.42915638877,925748.246114668,42.58155981786914,-71.08757280955534
Tisbury,273627.20358383906,800683.7853588128,41.45289670020809,-70.61886236934107
Acton,205115.2671844106,914864.7519650356,42.48430240368038,-71.43778383364977
Middleton,239681.29062250178,928307.0286080209,42.604318866284565,-71.0164410829216
Tyringham,59913.790198502174,889935.8616551154,42.24733983782798,-73.19758671554948
Hingham,250790.11240633513,885252.5305506918,42.216077641260775,-70.8848561788399
Rockport,271925.1335067332,934132.0429477413,42.65443962429109,-70.6228069072196
